Quarter,2 Minute,Drive Num,YD Line,Down,YDs Left,Play Type,YDs Gained,Target,Completion,Sack,Fumble,Recovered,Pick,Turnover,Flag,Offense,Yards,TD,Conversion,Successful Conversion,FG Att,FG Scored,FG Distance,
1,0,1,25R,1,10,Pass,8,80,1,0,0,-1,0,0,0,-1,0,0,-1,-1,0,-1,-1,
1,0,1,32R,2,2,Outside Run,4,43,-1,0,0,-1,-1,0,0,-1,0,0,-1,-1,0,-1,-1,
1,0,1,36R,1,10,QB Run,3,8,-1,0,0,-1,0,0,0,-1,0,0,-1,-1,0,-1,-1,
1,0,1,39R,2,7,Pass,5,3,1,0,0,-1,0,0,0,-1,0,0,-1,-1,0,-1,-1,
1,0,1,44R,3,2,PA,16,89,1,0,0,-1,0,0,0,-1,0,0,-1,-1,0,-1,-1,
1,0,1,40B,1,10,Motion Run,17,35,-1,0,0,-1,-1,0,0,-1,0,0,-1,-1,0,-1,-1,
1,0,1,23B,1,10,Inside Run,2,35,-1,0,0,-1,0,0,0,-1,0,0,-1,-1,0,-1,-1,
1,0,1,21B,2,8,Pass,0,3,0,0,0,-1,0,0,1,0,5,0,-1,-1,0,-1,-1,
1,0,1,16B,1,10,Motion Run,6,43,-1,0,0,-1,-1,0,0,-1,0,0,-1,-1,0,-1,-1,
1,0,1,10B,2,4,Motion Run,1,43,-1,0,0,-1,-1,0,0,-1,0,0,-1,-1,0,-1,-1,
1,0,1,9B,3,3,Pass,8,3,1,0,0,-1,0,0,0,-1,0,0,-1,-1,0,-1,-1,
1,0,1,1B,1,1,Inside Run,0,43,-1,0,0,-1,-1,0,0,-1,0,0,-1,-1,0,-1,-1,
1,0,1,1B,2,1,Inside Run,1,35,-1,0,0,-1,-1,0,0,-1,0,1,1,1,0,-1,-1,
1,0,2,10R,1,10,Inside Run,5,35,-1,0,0,-1,-1,0,0,-1,0,0,-1,-1,0,-1,-1,
1,0,2,15R,2,5,Outside Run,2,43,-1,0,0,-1,-1,0,0,-1,0,0,-1,-1,0,-1,-1,
2,0,2,17R,3,3,Pass,0,-1,0,1,1,0,0,1,1,0,5,0,-1,-1,0,-1,-1,
2,0,2,22R,1,10,Motion Run,-1,43,-1,0,0,-1,-1,0,0,-1,0,0,-1,-1,0,-1,-1,
2,0,2,21R,2,11,QB Run,6,8,-1,0,0,-1,-1,0,0,-1,0,0,-1,-1,0,-1,-1,
2,0,2,27R,3,5,Pass,0,89,0,0,0,-1,0,0,0,-1,0,0,-1,-1,0,-1,-1,
2,0,2,27R,4,5,Punt,0,-1,-1,0,0,-1,0,0,0,-1,0,0,-1,-1,0,-1,-1,
2,0,3,25R,1,10,Pass,11,15,1,0,0,-1,0,0,0,-1,0,0,-1,-1,0,-1,-1,
2,0,3,36R,1,10,PA (Screen),0,13,0,0,0,-1,0,0,0,-1,0,0,-1,-1,0,-1,-1,
2,0,3,36R,2,10,PA,9,7,1,0,0,-1,0,0,0,-1,0,0,-1,-1,0,-1,-1,
2,0,3,45R,3,1,Outside Run,1,43,-1,0,0,-1,-1,0,0,-1,0,0,-1,-1,0,-1,-1,
2,0,3,47R,1,10,Outside Run,8,43,-1,0,0,-1,-1,0,0,-1,0,0,-1,-1,0,-1,-1,
2,0,3,45B,2,2,PA (Screen),11,4,1,0,0,-1,0,0,0,-1,0,0,-1,-1,0,-1,-1,
2,0,3,34B,1,10,Pass,7,7,1,0,0,-1,0,0,0,-1,0,0,-1,-1,0,-1,-1,
2,0,3,27B,2,3,Pass,0,3,0,0,0,-1,0,0,0,-1,0,0,-1,-1,0,-1,-1,
2,0,3,27B,3,3,Outside Run,1,43,-1,0,0,-1,-1,0,0,-1,0,0,-1,-1,0,-1,-1,
2,0,3,26B,4,2,FG,0,9,-1,0,0,-1,-1,0,0,-1,0,0,-1,-1,1,1,44,
2,0,4,25R,1,10,PA,7,43,1,0,0,-1,0,0,0,-1,0,0,-1,-1,0,-1,-1,
2,0,4,32R,2,3,QB Run,10,8,-1,0,0,-1,-1,0,0,-1,0,0,-1,-1,0,-1,-1,
2,1,4,42R,1,10,QB Run,3,8,-1,0,0,-1,-1,0,0,-1,0,0,-1,-1,0,-1,-1,
2,1,4,45R,2,7,Pass,6,15,1,0,0,-1,0,0,0,-1,0,0,-1,-1,0,-1,-1,
2,1,4,49B,1,10,Pass,8,43,1,0,0,-1,0,0,0,-1,0,0,-1,-1,0,-1,-1,
2,1,4,42B,2,2,Pass,7,89,1,0,0,-1,0,0,0,-1,0,0,-1,-1,0,-1,-1,
2,1,4,35B,1,10,Pass,17,15,1,0,0,-1,0,0,0,-1,0,0,-1,-1,0,-1,-1,
2,1,4,18B,1,10,Pass,-3,-1,0,1,0,-1,-1,0,1,0,5,0,-1,-1,0,-1,-1,
2,1,4,13B,1,10,Pass,0,89,0,0,0,-1,0,0,1,1,-10,0,-1,-1,0,-1,-1,
2,1,4,23B,1,20,QB Run,18,8,-1,0,0,-1,-1,0,1,1,-10,0,-1,-1,0,-1,-1,
2,1,4,33B,1,30,Pass,0,89,0,0,0,-1,0,0,0,-1,0,0,-1,-1,0,-1,-1,
2,1,4,33B,2,30,Pass,0,89,0,0,0,-1,0,0,0,-1,0,0,-1,-1,0,-1,-1,
2,1,4,33B,3,30,QB Run,11,8,-1,0,0,-1,-1,0,0,-1,0,0,-1,-1,0,-1,-1,
2,1,4,22B,4,19,FG,0,9,-1,0,0,-1,-1,0,0,-1,0,0,-1,-1,1,1,40,
3,0,5,42R,1,10,Pass,48,4,1,0,0,-1,0,0,0,-1,0,0,-1,-1,0,-1,-1,
3,0,5,10B,1,10,Jet Sweep,6,4,-1,0,0,-1,-1,0,0,-1,0,0,-1,-1,0,-1,-1,
3,0,5,4B,2,4,Pass,1,4,1,0,0,-1,-1,0,0,-1,0,0,-1,-1,0,-1,-1,
3,0,5,3B,3,3,Pass,3,89,1,0,0,-1,0,0,0,-1,0,1,1,1,0,-1,-1,
3,0,6,25R,1,10,Inside Run,19,35,-1,0,0,-1,-1,0,0,-1,0,0,-1,-1,0,-1,-1,
3,0,6,45R,1,10,Outside Run,3,35,-1,0,0,-1,-1,0,0,-1,0,0,-1,-1,0,-1,-1,
3,0,6,48R,2,7,QB Run,8,8,-1,0,0,-1,-1,0,0,-1,0,0,-1,-1,0,-1,-1,
3,0,6,44B,1,10,QB Run,18,18,-1,0,0,-1,-1,0,1,1,-10,0,-1,-1,0,-1,-1,
3,0,6,44R,1,20,PA,-3,43,1,0,0,-1,0,0,0,-1,0,0,-1,-1,0,-1,-1,
4,0,6,41R,2,23,PA,23,89,1,0,0,-1,0,0,0,-1,0,0,-1,-1,0,-1,-1,
